ID,ANIO,NUCLEO_FAMILIAR,EDAD,SEXO,ZONA,CONDUCTA_INAPROPIADA,NOTA,TIPO,SEGURO,RETRASOS,NIVEL
2708,2011,2,5,0,3,27,13.605657,0,1,37,0
2713,2011,1,5,0,0,4,18.628076,0,0,5,0
2744,2011,1,7,0,5,10,17.065945,0,0,59,0
2745,2011,1,4,1,11,2,16.801621,0,0,10,1
2819,2011,2,5,0,10,22,13.71,0,1,7,0
2837,2011,1,4,0,1,4,18.036538,0,0,26,0
2863,2011,1,4,1,0,12,14.544739,0,0,37,1
2865,2011,3,4,0,0,44,11.833043,0,1,7,0
2870,2011,0,4,1,3,4,14.917222,0,1,9,1
2881,2011,0,8,0,4,6,14.084722,0,0,58,1
2883,2011,3,4,0,0,2,8.578472,0,0,0,0
2943,2011,2,4,1,4,2,19.187692,0,0,61,0
3005,2011,3,4,0,4,47,11.742361,0,0,2,0
3006,2011,1,4,0,1,10,15.835694,0,0,17,0
3012,2011,2,4,0,0,86,10.850555,0,0,10,0
3017,2011,3,4,0,0,14,11.775,0,0,0,0
3029,2011,3,4,0,10,23,13.020131,0,1,1,0
3041,2011,2,4,1,3,6,15.420416,0,1,8,1
3052,2011,3,4,0,0,35,12.585652,0,0,4,0
3073,2011,3,4,1,0,4,17.28423,0,0,14,2
3079,2011,3,4,0,1,1,18.34923,0,0,8,2
3090,2011,3,4,0,1,39,12.893289,0,0,4,0
3095,2011,3,4,0,4,6,17.031923,0,1,0,2
3098,2011,3,4,1,4,29,11.939861,0,0,8,0
3104,2011,1,4,1,3,12,15.973611,0,1,3,1
3109,2011,3,4,0,1,9,16.568076,1,0,2,2
3110,2011,1,12,0,0,48,11.622777,0,0,16,0
3113,2011,3,4,1,10,34,12.215138,0,1,26,0
1034,2011,1,7,0,10,14,13.978333,0,1,100,1
1045,2011,3,7,0,0,28,12.925526,0,0,10,0
1072,2011,1,11,0,1,9,16.664444,0,0,16,1
1093,2011,0,11,0,1,18,12.708695,0,0,35,0
1166,2011,0,12,0,1,6,13.671866,0,0,61,0
1201,2011,1,7,1,0,20,17.082222,2,0,33,0
1418,2011,1,12,0,0,25,13.330555,0,0,27,0
1435,2011,3,12,0,0,34,13.414722,0,1,36,1
1451,2011,1,7,0,1,43,12.220289,0,0,26,0
1507,2011,0,11,0,6,31,13.972368,0,0,77,0
1543,2011,0,7,0,5,19,16.989722,1,0,44,1
1555,2011,1,7,0,0,6,15.734933,0,0,56,0
1568,2011,1,8,1,4,2,16.200833,0,0,53,1
1662,2011,0,7,0,0,20,14.579565,0,0,38,0
1706,2011,1,7,1,10,32,15.011111,2,1,13,1
1742,2011,0,6,1,1,11,16.9975,0,0,61,1
1750,2011,1,8,1,0,7,16.647222,0,0,96,1
1753,2011,1,13,0,0,16,14.653947,0,0,15,0
1770,2011,1,16,0,1,16,13.710579,0,0,17,0
1814,2011,1,6,0,4,10,15.549444,0,0,82,1
1866,2011,2,6,1,1,12,14.390869,0,0,20,0
1874,2011,1,7,0,10,12,15.161388,0,1,13,1
1887,2011,1,9,0,6,0,18.851111,1,0,70,0
1903,2011,1,7,0,0,48,11.998266,0,0,15,0
2055,2011,0,7,1,4,80,11.754078,0,1,7,0
2126,2011,3,6,0,10,37,13.359333,0,1,10,0
2144,2011,2,6,0,1,45,12.326533,0,0,3,0
2164,2011,1,6,0,1,12,15.289066,0,0,15,0
2201,2011,3,6,0,0,9,13.998533,0,0,10,0
2241,2011,1,6,0,0,12,16.417222,1,0,13,1
2257,2011,3,5,0,1,32,13.260833,0,0,20,1
2295,2011,3,6,0,4,38,12.120289,0,1,0,0
2310,2011,0,5,1,9,12,14.313055,0,0,68,1
2448,2011,1,6,1,0,1,17.822307,2,1,66,1
2488,2011,3,6,0,0,28,14.79421,0,0,5,0
2491,2011,2,6,1,1,8,14.999473,0,0,37,0
2516,2011,0,5,1,4,18,13.669605,0,0,11,0
2537,2011,3,5,1,4,24,13.175394,0,1,3,0
2542,2011,2,9,0,5,13,16.401944,0,0,15,1
2545,2011,1,6,1,5,1,17.794722,2,1,82,1
2553,2011,3,5,0,2,7,13.9716,0,1,42,0
2562,2011,3,7,0,1,30,15.248918,0,0,19,1
2566,2011,1,10,1,0,1,18.134722,1,0,68,0
2578,2011,3,4,1,0,21,13.715526,0,0,22,0
2631,2011,2,5,0,0,42,13.426842,0,0,16,0
2684,2011,3,4,0,1,18,12.405507,0,0,11,0
2728,2011,2,5,1,2,11,14.858333,0,1,1,1
2829,2011,1,17,0,0,31,11.842173,0,0,11,0
2907,2011,3,4,0,1,24,14.264583,0,0,54,0
2909,2011,1,4,0,0,16,15.236944,0,0,0,0
2958,2011,3,4,0,0,0,6.763513,0,0,3,1
2997,2011,3,4,1,1,50,14.221805,0,0,6,0
3009,2011,1,4,0,4,13,17.447222,0,0,50,1
3027,2011,3,4,0,6,2,17.088611,0,0,2,1
3031,2011,3,4,0,4,44,12.486133,0,0,15,0
3051,2011,3,4,0,0,46,12.757536,0,0,1,0
3055,2011,1,4,0,4,20,15.511891,0,1,12,0
3069,2011,3,4,0,0,22,13.910833,0,0,3,0
3070,2011,1,9,0,1,8,16.996666,2,0,71,0
3084,2011,2,6,0,6,39,14.687222,0,0,1,1
3099,2011,2,4,0,2,53,12.386111,0,0,5,0
3103,2011,1,5,1,4,3,15.618076,0,0,26,1
3106,2011,1,4,1,2,2,18.502692,0,0,4,0
3112,2011,0,4,0,1,34,12.295833,0,0,1,0
3144,2011,2,4,1,0,41,12.101449,0,0,2,0
3145,2011,3,4,0,0,7,17.59423,0,1,0,1
3152,2011,3,4,0,4,27,12.072173,0,0,7,0
3239,2011,3,4,0,10,1,15.118028,0,1,9,0
1063,2012,0,8,0,0,10,13.905217,0,0,13,0
1082,2012,1,8,1,0,5,14.419459,0,0,16,0
1186,2012,1,12,0,0,4,15.098611,0,0,22,1
1203,2012,1,8,1,6,12,14.00676,0,0,39,1
1263,2012,1,12,0,11,15,13.752533,0,0,16,0
1480,2012,1,13,0,0,6,13.104202,0,0,16,0
3116,2011,1,10,1,0,2,17.303611,1,0,24,0
3122,2011,3,4,0,6,44,11.178333,0,1,5,0
3141,2011,3,4,1,6,5,17.533846,0,1,4,1
3147,2011,3,4,0,0,9,7.888115,0,0,2,0
3163,2011,1,4,1,4,2,17.096153,0,0,7,0
3246,2011,1,4,0,2,11,14.44,0,1,25,1
3345,2011,1,5,1,1,0,15.75,0,1,19,0
1087,2012,0,13,0,0,7,17.096338,2,0,32,0
1090,2012,1,8,0,2,2,14.039014,0,1,33,0
1095,2012,2,9,1,4,8,14.764864,0,1,15,0
